category,word_one,word_two,word_three,word_four
antonym,بیدار,خەواب,بیدار,خەواب
antonym,بیدار,خەواب,تاریک,ڕوون
antonym,بیدار,خەواب,تەما,کەله کەڵک
antonym,بیدار,خەواب,خۆش,ناراحە
antonym,بیدار,خەواب,رەحەمان,کەس
antonym,بیدار,خەواب,زۆر,کەم
antonym,بیدار,خەواب,سەرسام,بەرز
antonym,بیدار,خەواب,سەرەش,پەیاو
antonym,بیدار,خەواب,میشە,خۆش
antonym,بیدار,خەواب,نوێ,کەهنە
antonym,بیدار,خەواب,نەرم,کۆم
antonym,بیدار,خەواب,پاک,نەپاک
antonym,بیدار,خەواب,پێویست,نەپێویست
antonym,بیدار,خەواب,چاو,ڕەنگ
antonym,بیدار,خەواب,کوتاه,بەرز
antonym,تەما,کەله کەڵک,بیدار,خەواب
antonym,تەما,کەله کەڵک,تەما,کەله کەڵک
antonym,تەما,کەله کەڵک,خۆش,ناراحە
antonym,تەما,کەله کەڵک,رەحەمان,کەس
antonym,تەما,کەله کەڵک,زۆر,کەم
antonym,تەما,کەله کەڵک,سەرسام,بەرز
antonym,تەما,کەله کەڵک,سەرچاو,رەنگ
antonym,تەما,کەله کەڵک,سەرەش,پەیاو
antonym,تەما,کەله کەڵک,میشە,خۆش
antonym,تەما,کەله کەڵک,نوێ,کەهنە
antonym,تەما,کەله کەڵک,نەرم,کۆم
antonym,تەما,کەله کەڵک,پاک,نەپاک
antonym,تەما,کەله کەڵک,پێویست,نەپێویست
antonym,تەما,کەله کەڵک,چاو,ڕەنگ
antonym,تەما,کەله کەڵک,کوتاه,بەرز
antonym,خۆش,ناراحە,بیدار,خەواب
antonym,خۆش,ناراحە,تەما,کەله کەڵک
antonym,خۆش,ناراحە,خۆش,ناراحە
antonym,خۆش,ناراحە,رەحەمان,کەس
antonym,خۆش,ناراحە,زۆر,کەم
antonym,خۆش,ناراحە,زەوی,سرد
antonym,خۆش,ناراحە,سەرسام,بەرز
antonym,خۆش,ناراحە,سەرەش,پەیاو
antonym,خۆش,ناراحە,میشە,خۆش
antonym,خۆش,ناراحە,نوێ,کەهنە
antonym,خۆش,ناراحە,نەرم,کۆم
antonym,خۆش,ناراحە,پاک,نەپاک
antonym,خۆش,ناراحە,پێویست,نەپێویست
antonym,خۆش,ناراحە,چاو,ڕەنگ
antonym,خۆش,ناراحە,کوتاه,بەرز
antonym,رەحەمان,کەس,باش,خۆش
antonym,رەحەمان,کەس,بیدار,خەواب
antonym,رەحەمان,کەس,تەما,کەله کەڵک
antonym,رەحەمان,کەس,خۆش,ناراحە
antonym,رەحەمان,کەس,رەحەمان,کەس
antonym,رەحەمان,کەس,زۆر,کەم
antonym,رەحەمان,کەس,سەرسام,بەرز
antonym,رەحەمان,کەس,سەرەش,پەیاو
antonym,رەحەمان,کەس,میشە,خۆش
antonym,رەحەمان,کەس,نوێ,کەهنە
antonym,رەحەمان,کەس,نەرم,کۆم
antonym,رەحەمان,کەس,پاک,نەپاک
antonym,رەحەمان,کەس,پێویست,نەپێویست
antonym,رەحەمان,کەس,چاو,ڕەنگ
antonym,رەحەمان,کەس,کوتاه,بەرز
antonym,زۆر,کەم,بیدار,خەواب
antonym,زۆر,کەم,تەما,کەله کەڵک
antonym,زۆر,کەم,خۆش,ناراحە
antonym,زۆر,کەم,خێر,کەس
antonym,زۆر,کەم,رەحەمان,زەرد
antonym,زۆر,کەم,رەحەمان,کەس
antonym,زۆر,کەم,زۆر,کەم
antonym,زۆر,کەم,سەرسام,بەرز
antonym,زۆر,کەم,سەرمە,دەنگ
antonym,زۆر,کەم,سەرەش,پەیاو
antonym,زۆر,کەم,شادی,خانە
antonym,زۆر,کەم,شەر,رەو
antonym,زۆر,کەم,میشە,خۆش
antonym,زۆر,کەم,نوێ,کەهنە
antonym,زۆر,کەم,نەرم,کۆم
antonym,زۆر,کەم,پاک,نەپاک
antonym,زۆر,کەم,پێویست,نەپێویست
antonym,زۆر,کەم,چاو,ڕەنگ
antonym,زۆر,کەم,ڕوون,تاریک
antonym,زۆر,کەم,کوتاه,بەرز
antonym,سەرسام,بەرز,بیدار,خەواب
antonym,سەرسام,بەرز,تازە,کەهنە
antonym,سەرسام,بەرز,تەما,کەله کەڵک
antonym,سەرسام,بەرز,خۆش,ناراحە
antonym,سەرسام,بەرز,رەحەمان,کەس
antonym,سەرسام,بەرز,زۆر,کەم
antonym,سەرسام,بەرز,سەرسام,بەرز
antonym,سەرسام,بەرز,سەرەش,پەیاو
antonym,سەرسام,بەرز,میشە,خۆش
antonym,سەرسام,بەرز,نوێ,کەهنە
antonym,سەرسام,بەرز,نەرم,کۆم
antonym,سەرسام,بەرز,پاک,نەپاک
antonym,سەرسام,بەرز,پێویست,نەپێویست
antonym,سەرسام,بەرز,چاو,ڕەنگ
antonym,سەرسام,بەرز,کوتاه,بەرز
antonym,سەرەش,پەیاو,بیدار,خەواب
antonym,سەرەش,پەیاو,تەما,کەله کەڵک
antonym,سەرەش,پەیاو,خۆش,ناراحە
antonym,سەرەش,پەیاو,رەحەمان,کەس
antonym,سەرەش,پەیاو,زۆر,کەم
antonym,سەرەش,پەیاو,سەرسام,بەرز
antonym,سەرەش,پەیاو,سەرەش,پەیاو
antonym,سەرەش,پەیاو,میشە,خۆش
antonym,سەرەش,پەیاو,نوێ,کەهنە
antonym,سەرەش,پەیاو,نەرم,کۆم
antonym,سەرەش,پەیاو,پاک,نەپاک
antonym,سەرەش,پەیاو,پێویست,نەپێویست
antonym,سەرەش,پەیاو,چاو,ڕەنگ
antonym,سەرەش,پەیاو,کوتاه,بەرز
antonym,میشە,خۆش,بیدار,خەواب
antonym,میشە,خۆش,تازە,کەهنە
